"State","maxWeeklyBenefitAmount","maxWeeks","Pop"
"Massachusetts","823","26","6912239"
"Washington","790","26","7796941"
"Minnesota","740","26","5706398"
"New Jersey","713","26","8874520"
"Connecticut","649","26","3552821"
"Oregon","648","26","4289439"
"Hawaii","648","26","1406430"
"North Dakota","618","26","770026"
"Colorado","618","26","5893634"
"Rhode Island","586","26","1061509"
"Utah","580","26","3310774"
"Pennsylvania","572","26","12804123"
"Montana","552","28","1085004"
"Kentucky","552","26","4480713"
"Oklahoma","539","26","3990443"
"Texas","535","26","29730311"
"Vermont","513","26","623251"
"New Mexico","511","26","2105005"
"Wyoming","508","26","581075"
"New York","504","26","19299981"
"Kansas","488","16","2917224"
"Illinois","484","26","12569321"
"Nevada","483","26","3185786"
"Iowa","481","26","3167974"
"Ohio","480","26","11714618"
"Arkansas","451","20","3033946"
"California","450","26","39613493"
"Idaho","448","20","1860123"
"Maine","445","26","1354522"
"Nebraska","440","26","1951996"
"Maryland","430","26","6065436"
"New Hampshire","427","26","1372203"
"West Virginia","424","26","1767859"
"South Dakota","414","26","896581"
"Delaware","400","26","990334"
"Indiana","390","26","6805663"
"Virginia","378","26","8603985"
"Wisconsin","370","26","5852490"
"Alaska","370","26","724357"
"Georgia","365","14","10830007"
"Michigan","362","20","9992427"
"North Carolina","350","12","10701022"
"South Carolina","326","20","5277830"
"Missouri","320","13","6169038"
"Tennessee","275","26","6944260"
"Alabama","275","26","4934193"
"Florida","275","12","21944577"
"Louisiana","247","26","4627002"
"Arizona","240","26","7520103"
"Mississippi","235","26","2966407"
