"State","Veterans","VeteransPerCapita"
"Alaska","65186","8999.1537"
"Virginia","677533","7874.6418"
"Montana","85350","7866.3304"
"Wyoming","44999","7744.0950"
"Maine","103776","7661.4481"
"West Virginia","130536","7383.8468"
"Hawaii","101975","7250.6275"
"New Hampshire","96098","7003.1912"
"South Carolina","365139","6918.3547"
"New Mexico","144977","6887.2520"
"Washington","529784","6794.7673"
"Oklahoma","270775","6785.5875"
"Alabama","330207","6692.2190"
"Delaware","65438","6607.6697"
"Oregon","283045","6598.6484"
"Florida","1440338","6563.5259"
"Nevada","207767","6521.6873"
"Missouri","401779","6512.8307"
"Arkansas","197138","6497.7425"
"Arizona","488061","6490.0840"
"South Dakota","57550","6418.8289"
"Colorado","373795","6342.3518"
"Idaho","116157","6244.5871"
"Tennessee","431274","6210.5106"
"North Carolina","659584","6163.7477"
"Ohio","709287","6054.7173"
"Kansas","176444","6048.3528"
"Maryland","365356","6023.5736"
"Nebraska","117466","6017.7377"
"North Dakota","46067","5982.5253"
"Kentucky","267594","5972.1299"
"Vermont","36988","5934.6876"
"Pennsylvania","759474","5931.4800"
"Iowa","185671","5860.8751"
"Georgia","629302","5810.7257"
"Wisconsin","331340","5661.5218"
"Indiana","380690","5593.7239"
"Mississippi","165538","5580.4210"
"Michigan","549526","5499.4247"
"Louisiana","243335","5259.0209"
"Minnesota","300044","5258.0279"
"Rhode Island","54121","5098.4966"
"Texas","1453450","4888.7817"
"Connecticut","167521","4715.1545"
"Illinois","570264","4536.9515"
"Massachusetts","303534","4391.2544"
"California","1574531","3974.7341"
"New York","705924","3657.6409"
"Utah","120447","3638.0315"
"New Jersey","321991","3628.2638"
