,totalhomeless,totalhouseholds,totalveterans,totalyoungadults,householdincome,percenthighschoolorhigher,percentbachelorsorhigher,maxweeklybenefitamount,maxweeks,pop_x,unemploymentrate,costindex,grocerycost,housingcost,utilitiescost,transportationcost,misccost,averagetemperature,rank,pop_y,growth,pop2010,growthsince2010,percent,density,veterans,veteranspercapita
totalhomeless,1.0,0.8115406153689224,0.8972780709082716,0.9438148532034014,0.22959872005885726,-0.4161670713397142,0.20619214809418482,0.049459345316297136,0.017343994467665304,0.8142670833574037,-0.05004152645447524,0.41845662424988644,0.20126165547316763,0.16746009787815874,0.17548146988176797,0.3026275418928796,0.257919645520135,0.13181704190543675,-0.48624505536714496,0.8142670833574037,-0.0871259049514262,0.8353905711574242,0.013957401547731596,0.8141811962577479,0.13060969158794505,0.6715339682336811,-0.4292671681362871
totalhouseholds,0.8115406153689224,1.0,0.48177642435036727,0.5830980584729338,0.22764230133188532,-0.27165477476477384,0.2916755607590252,0.12312866864183296,0.034076207302930615,0.6058358524623094,-0.1209095178883053,0.3876313522659149,0.25488378349071517,0.19356833095764434,0.08359327212640427,0.21745926556069006,0.3034398540543536,-0.00608304871116028,-0.4621047068266407,0.6058358524623094,-0.17697019281490056,0.6367360607595047,-0.09212756389774325,0.6058591411650183,0.21874603497237344,0.476084138924034,-0.46457030597474663
totalveterans,0.8972780709082716,0.48177642435036727,1.0,0.9774548800033769,0.1903855920330022,-0.4223495289881402,0.13286267646752836,0.004147707602027428,-0.036763358480120266,0.8052581706003309,0.011605615490095736,0.3449880457296175,0.12018622597401174,0.09684193288616896,0.19352048829362567,0.29435514663718604,0.17617189355275178,0.22984037313128453,-0.45319955618115265,0.8052581706003309,0.031810586891677366,0.8108837385815124,0.12828939588822164,0.8051202118606142,0.06902560665949387,0.7052734356782356,-0.3101037522397137
totalyoungadults,0.9438148532034014,0.5830980584729338,0.9774548800033769,1.0,0.20608992415066815,-0.4067156556258183,0.13354455824929956,0.044219776226125385,0.03225326782394974,0.7694868688702442,0.004097720768614712,0.37969135304795787,0.15145252411330887,0.12662957267705965,0.1771436751925901,0.3300749619173483,0.21326214056816498,0.14057475512556608,-0.40652944539982816,0.7694868688702442,-0.018264746723740316,0.7845670824591557,0.06907902394048471,0.7693402447540256,0.049920970749990114,0.6364646521013838,-0.33832395403102883
householdincome,0.22959872005885726,0.22764230133188532,0.1903855920330022,0.20608992415066815,1.0,0.41802462503307747,0.8413732980959764,0.5540722232226782,0.2862961669751455,0.11805211271783612,0.05589254879999305,0.7071977953964396,0.5966883632131776,0.09016906825431749,0.5340356014355937,0.46189102928130316,0.6893307094227692,-0.3035077953360627,-0.07117026566819075,0.11805211271783612,-0.1049474725028816,0.1262538902231467,0.024074653330081748,0.11798812875547267,0.5133575677464369,0.03628381271399392,-0.22907373304011852
percenthighschoolorhigher,-0.4161670713397142,-0.27165477476477384,-0.4223495289881402,-0.4067156556258183,0.41802462503307747,1.0,0.4374355282534404,0.3993445209532762,0.13640836886730617,-0.5338087235794351,-0.015148309003732055,0.1779157013213476,0.27109954698608774,-0.1537140769555144,0.13791940857593457,0.1400596013630286,0.2572018642011795,-0.7133972551520654,0.46006584023972596,-0.5338087235794351,-0.008029030115636295,-0.5288298783897012,-0.010812550992374633,-0.5338566568489829,-0.04850953740180208,-0.512783541914894,0.2793188540574932
percentbachelorsorhigher,0.20619214809418482,0.2916755607590252,0.13286267646752836,0.13354455824929956,0.8413732980959764,0.4374355282534404,1.0,0.5524858762062378,0.136637864176752,0.1404181379935396,0.15365204748776667,0.5403595728959099,0.3509829052008681,0.025654540301944643,0.3050656837648378,0.3488176259305378,0.5463525993166242,-0.28362826833244753,-0.18993315126186036,0.1404181379935396,-0.02422691401176973,0.14843372146656567,0.04530442589317452,0.14035534613415782,0.5229123998317714,0.08962178659663451,-0.3184760792710036
maxweeklybenefitamount,0.049459345316297136,0.12312866864183296,0.004147707602027428,0.044219776226125385,0.5540722232226782,0.3993445209532762,0.5524858762062378,1.0,0.34848041920834133,-0.06330227242392926,-0.03039479541519961,0.42737093613366417,0.3456376551009621,-0.027939010637785006,0.14816850037665813,0.45577032503109566,0.5168644998466663,-0.3510343072010866,0.06340514037605763,-0.06330227242392926,-0.05066387935654429,-0.05885665326892763,0.026646027631624075,-0.06331317691958442,0.32181549012833566,-0.14439369333125182,-0.26670481281743863
maxweeks,0.017343994467665304,0.034076207302930615,-0.036763358480120266,0.03225326782394974,0.2862961669751455,0.13640836886730617,0.136637864176752,0.34848041920834133,1.0,-0.17051865283266207,-0.07391276144825411,0.2760297280961073,0.216883812584602,0.17649428837531045,0.11931162244491145,0.13427532651112137,0.28079296755166644,-0.34585442254884563,0.2663826362758891,-0.17051865283266207,-0.22514905025429643,-0.15241890924670087,-0.19283939441932813,-0.17061947433036345,0.04024637696989439,-0.28790454513577435,-0.050554795120237306
pop_x,0.8142670833574037,0.6058358524623094,0.8052581706003309,0.7694868688702442,0.11805211271783612,-0.5338087235794351,0.1404181379935396,-0.06330227242392926,-0.17051865283266207,1.0,-0.08287624690306143,0.14645958020750605,-0.023850494316878995,0.015476067896162732,0.07421790955187887,0.11656075703770333,0.011713248389262758,0.3604273511109859,-0.7796041128053031,1.0,0.04673508033373008,0.9967353670506559,0.141701018128969,0.9999991901613029,0.16588709346644848,0.9596575879294887,-0.4592824925804109
