state,totalhomeless,totalhouseholds,totalveterans,totalyoungadults,householdincome,percenthighschoolorhigher,percentbachelorsorhigher,maxweeklybenefitamount,maxweeks,pop,unemploymentrate,costindex,grocerycost,housingcost,utilitiescost,transportationcost,misccost,averagetemperature,rank,growth,pop2010,growthsince2010,percent,density,veterans,veteranspercapita
California,151278,7044,10980,11993,75235,83,34,450,26,39613493,0.037,151.7,110.3,192.7,128.5,136.1,111.3,59.4,1,0.0013,37319502,0.0615,0.1184,254.2929,1574531,3974.7341
New York,92091,15091,1270,2978,68486,87,37,504,26,19299981,0.024,139.1,118.3,230.2,99.2,110.6,114.8,45.4,4,-0.004,19399878,-0.0051,0.0577,409.54,705924,3657.6409
Florida,28328,2171,2472,1450,55660,88,30,275,12,21944577,0.026,97.9,106.9,99.6,103.1,101.7,98.4,70.7,3,0.0108,18845537,0.1644,0.0656,409.2229,1440338,6563.5259
Texas,25848,1919,1806,1355,61874,84,30,535,26,29730311,0.023,91.5,91.2,83.5,103.3,90.9,97,64.8,2,0.0125,25241971,0.1778,0.0889,113.8081,1453450,4888.7817
Washington,21577,1751,1585,1911,73775,91,36,790,26,7796941,0.034,110.7,109.2,116.7,91.1,118.3,110.4,48.3,13,0.0118,6742830,0.1563,0.0233,117.3249,529784,6794.7673
Massachusetts,18471,3766,917,480,81215,91,44,823,26,6912239,0.033,131.6,117,179.2,110.8,112.2,116.1,47.9,16,0.0014,6566307,0.0527,0.0207,886.1845,303534,4391.2544
Oregon,15876,1147,1438,1590,62818,91,34,648,26,4289439,0.035,134.2,109,178.1,90.1,125.3,118.5,48.4,27,0.0084,3837491,0.1178,0.0128,44.6872,283045,6598.6484
Pennsylvania,13199,1569,857,737,61744,91,31,572,26,12804123,0.023,101.7,109.3,100.6,109.5,112,102.9,48.8,5,0.0001,12711160,0.0073,0.0383,286.1704,759474,5931.48
Georgia,10443,815,801,596,58700,87,31,365,14,10830007,0.029,89.2,96.3,74.3,90.3,95.7,96.6,63.5,8,0.0099,9711881,0.1151,0.0324,188.3054,629302,5810.7257
Ohio,10345,999,676,643,56602,90,28,480,26,11714618,0.037,90.8,97.9,76.1,90.7,99.6,98.7,50.7,7,0.0011,11539336,0.0152,0.035,286.6944,709287,6054.7173
