Property_Class,Property_Address,Property_City,Sale_Date,Sale_Price,Land_Square_Feet,Age,Rooms,Bedrooms,Basement,Central_Heating,Central_Air_Conditioning,Fireplaces,Full_Baths,Half_Baths,Sale_Year,Sale_Month
205,7121 N MASON AVE,CHICAGO,2018-11-23,367500.0,4375.0,72,6,3,Partial,Warm Air Furnace,Central A/C,0.0,6,0.0,2018,11
203,7427 N OLCOTT AVE,CHICAGO,2020-12-07,380000.0,5000.0,66,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,12
205,7434 N OLEANDER AVE,CHICAGO,2018-05-01,429000.0,3750.0,65,6,3,Slab,Warm Air Furnace,Central A/C,0.0,6,1.0,2018,5
203,6754 N OCTAVIA AVE,CHICAGO,2020-06-10,288000.0,4062.0,94,7,2,Full,Warm Air Furnace,Central A/C,0.0,7,0.0,2020,6
203,7255 N ORIOLE AVE,CHICAGO,2019-07-24,342000.0,4375.0,66,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2019,7
203,6718 N OXFORD AVE,CHICAGO,2018-01-10,575000.0,6200.0,105,8,4,Full,Hot Water Steam,No Central A/C,1.0,8,1.0,2018,1
203,6869 N MOSELLE AVE,CHICAGO,2018-04-26,545000.0,6250.0,68,5,3,Slab,Warm Air Furnace,Central A/C,0.0,5,1.0,2018,4
278,7110 N OSCEOLA AVE,CHICAGO,2020-03-05,950000.0,7350.0,3,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2020,3
205,2630 W FARGO AVE,CHICAGO,2018-03-26,375000.0,3720.0,68,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2018,3
205,6507 N NATOMA AVE,CHICAGO,2020-11-12,395000.0,7701.0,102,7,4,Full,Hot Water Steam,No Central A/C,0.0,7,2.0,2020,11
205,6540 N SPOKANE AVE,CHICAGO,2020-12-08,474900.0,4960.0,79,7,3,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2020,12
