DATE,state,Total Death
5/6/2020,NH,111
5/6/2020,VT,52
5/6/2020,ME,62
5/6/2020,CT,2718
5/6/2020,NC,539
5/6/2020,MS,688
5/6/2020,MT,16
5/6/2020,NJ,8549
5/6/2020,OR,115
5/6/2020,DC,277
5/6/2020,LA,2094
5/6/2020,AZ,426
5/6/2020,SC,309
5/6/2020,RI,457
5/6/2020,VA,713
5/6/2020,MN,485
5/6/2020,HI,17
5/6/2020,KS,144
5/6/2020,PR,120
5/6/2020,TX,1200
5/6/2020,AK,10
5/6/2020,UT,58
5/6/2020,MA,5015
5/6/2020,WV,51
5/6/2020,MP,2
5/6/2020,NY,6482
5/6/2020,IA,219
5/6/2020,TN,263
5/6/2020,PA,3106
5/6/2020,NM,219
5/6/2020,PW,0
5/6/2020,GA,1327
5/6/2020,AS,0
5/6/2020,FL,1752
5/6/2020,NYC,19869
5/6/2020,CO,921
5/6/2020,AR,87
5/6/2020,OK,278
5/6/2020,RMI,0
5/6/2020,SD,29
5/6/2020,OH,1225
5/6/2020,MI,4917
5/6/2020,GU,5
5/6/2020,WA,870
5/6/2020,MD,1551
5/6/2020,IL,2974
5/6/2020,NV,286
5/6/2020,IN,1536
5/6/2020,DE,193
5/6/2020,ND,31
5/6/2020,WI,362
5/6/2020,NE,86
5/6/2020,ID,66
5/6/2020,CA,2905
5/6/2020,AL,491
5/6/2020,MO,582
5/6/2020,VI,4
5/6/2020,KY,327
5/6/2020,WY,7
5/6/2020,FSM,0
